bin	group	depth	enzyme	abundance
LSU_GOM1	Group1a	30.0	fmnos	0.13465
LSU_GOM2	Group1a	30.0	fmnos	0.111421
MPMJ01	Group4	5.0	fmnos	0.822785
MPMM01	Group3a	5.0	fmnos	1.81373
MPNC01	Group3a	5.0	fmnos	1.87954
MPND01	Group2	5.0	fmnos	1.06818
MPNN01	Group1a	5.0	fmnos	0.138122
OSU_BB01	Group2	200.0	fmnos	2.18642
OSU_BB02	Group1a	200.0	fmnos	0.213828
OSU_BB03	Group1b	80.0	fmnos	0.0770416
OSU_BB04	Group1a	200.0	fmnos	0.285878
OSU_BB05	Group2	200.0	fmnos	2.71605
OSU_BB06	Group1b	0.0	fmnos	0.0735835
OSU_BB07	Group2	80.0	fmnos	0.501253
OSU_BB08	Group1a	200.0	fmnos	0.387382
OSU_BB09	Group2	200.0	fmnos	2.44551
OSU_BB10	Group3a	200.0	fmnos	3.52805
OSU_BB11	Group3a	200.0	fmnos	2.90023
OSU_NS01	Group4	193.0	fmnos	0
OSU_NS02	Group5	200.0	fmnos	1.09718
OSU_NS03	Group3a	200.0	fmnos	3.27409
OSU_NS04	Group2	200.0	fmnos	2.27545
OSU_NS05	Group1a	200.0	fmnos	0.382166
OSU_NS06	Group3c	500.0	fmnos	3.03767
OSU_NS07	Group1a	10900.0	fmnos	0
OSU_NS08	Group3c	754.0	fmnos	0.103842
OSU_NS09	Group5	505.0	fmnos	0.205128
OSU_NS10	Group2	505.0	fmnos	2.16741
OSU_TB01	Group1a	115.0	fmnos	0.157978
OSU_TB02	Group3b	115.0	fmnos	1.83038
OSU_TB04	Group4	155.0	fmnos	1.10935
OSU_TB05	Group1a	250.0	fmnos	0.444198
OSU_TB06	Group2	250.0	fmnos	2.41603
OSU_TB07	Group3a	250.0	fmnos	2.19415
OSU_TB08	Group5	250.0	fmnos	0.25413
OSU_TB09	Group3a	800.0	fmnos	3.93082
OSU_TB10	Group2	790.0	fmnos	1.94856
OSU_TB11	Group5	790.0	fmnos	1.16279
OSU_TB12	Group2	790.0	fmnos	1.83486
OSU_TB13	Group3a	1000.0	fmnos	3.83219
OSU_TB14	Group3a	850.0	fmnos	3.83295
OSU_TB15	Group2	270.0	fmnos	0.779944
OSU_TB16	Group3b	120.0	fmnos	1.71473
OSU_TB17	Group3a	640.0	fmnos	3.61301
OSU_TB18	Group4	80.0	fmnos	0.968367
OSU_TB19	Group3b	80.0	fmnos	1.84659
OSU_TB20	Group1b	80.0	fmnos	0.0800641
OSU_TB21	Group2	600.0	fmnos	0.813921
OSU_TB22	Group3a	600.0	fmnos	3.79242
OSU_TB23	Group1a	600.0	fmnos	0.160772
OSU_TB24	Group3a	696.0	fmnos	3.62998
OSU_TB25	Group3a	696.0	fmnos	4.01538
OSU_TB26	Group2	696.0	fmnos	1.86819
OSU_TB27	Group2	696.0	fmnos	2.70636
OSU_TB28	Group3a	488.0	fmnos	3.8398
OSU_TB29	Group3a	350.0	fmnos	3.73878
OSU_TB30	Group2	350.0	fmnos	0.516796
OSU_TB31	Group3b	120.0	fmnos	1.92012
OSU_TB32	Group1b	50.0	fmnos	0.0777605
OSU_TB33	Group1a	80.0	fmnos	0
OSU_TB34	Group1c	80.0	fmnos	0
