bins	biome	depth	genes	COG2141	COG4948	COG4638	COG1028	COG3119
TARA_004_DCM_0.22-1.6	(NAO) North Atlantic Ocean 	40	725424	601	503	741	4461	1464
TARA_004_SRF_0.22-1.6	(NAO) North Atlantic Ocean 	5	667220	442	542	549	3935	2213
TARA_007_DCM_0.22-1.6	(MS) Mediterranean Sea 	42	346347	290	194	367	1819	1180
TARA_007_SRF_0.22-1.6	(MS) Mediterranean Sea 	5	357631	179	308	273	2213	1482
TARA_009_DCM_0.22-1.6	(MS) Mediterranean Sea 	55	810632	754	750	907	4957	2061
TARA_009_SRF_0.22-1.6	(MS) Mediterranean Sea 	5	663884	340	521	504	3951	2160
TARA_018_DCM_0.22-1.6	(MS) Mediterranean Sea 	60	765168	850	657	682	4670	2245
TARA_018_DCM_<-0.22	(MS) Mediterranean Sea 	60	111894	4	1	17	64	5
TARA_018_SRF_0.22-1.6	(MS) Mediterranean Sea 	5	793339	821	621	701	4769	2063
TARA_018_SRF_<-0.22	(MS) Mediterranean Sea 	5	156276	60	53	140	643	324
TARA_022_SRF_<-0.22	(MS) Mediterranean Sea 	5	248426	33	16	61	333	60
TARA_023_DCM_0.22-1.6	(MS) Mediterranean Sea 	55	359899	329	416	397	2455	1002
TARA_023_DCM_<-0.22	(MS) Mediterranean Sea 	55	181438	0	0	11	46	0
TARA_023_SRF_0.22-1.6	(MS) Mediterranean Sea 	5	329928	315	513	354	2423	1228
TARA_025_DCM_0.22-1.6	(MS) Mediterranean Sea 	50	720456	1100	791	863	4714	1850
TARA_025_DCM_<-0.22	(MS) Mediterranean Sea 	50	244564	53	57	136	678	272
TARA_025_SRF_0.22-1.6	(MS) Mediterranean Sea 	5	765561	377	674	590	4454	2259
TARA_025_SRF_<-0.22	(MS) Mediterranean Sea 	5	217365	19	40	69	420	48
TARA_030_DCM_0.22-1.6	(MS) Mediterranean Sea 	70	851822	500	624	566	4693	2306
TARA_030_DCM_<-0.22	(MS) Mediterranean Sea 	70	124842	14	9	21	143	14
TARA_030_SRF_0.22-1.6	(MS) Mediterranean Sea 	5	743052	266	534	384	3981	2062
TARA_031_SRF_0.22-1.6	(RS) Red Sea 	5	506972	411	411	419	2808	1088
TARA_031_SRF_<-0.22	(RS) Red Sea 	5	280830	66	71	180	951	255
TARA_032_DCM_0.22-1.6	(RS) Red Sea 	80	643223	2110	1730	1114	5408	2757
TARA_032_DCM_<-0.22	(RS) Red Sea 	80	82201	22	34	63	445	36
TARA_032_SRF_0.22-1.6	(RS) Red Sea 	5	505535	297	303	343	2417	556
TARA_032_SRF_<-0.22	(RS) Red Sea 	5	216493	0	2	11	104	6
TARA_033_SRF_0.22-1.6	(RS) Red Sea 	5	392456	319	311	319	2185	681
TARA_034_DCM_0.22-1.6	(RS) Red Sea 	60	969286	1842	2016	1269	6314	2582
TARA_034_DCM_<-0.22	(RS) Red Sea 	60	174100	0	0	13	126	5
TARA_034_SRF_0.1-0.22	(RS) Red Sea 	5	432065	28	16	33	259	45
TARA_034_SRF_0.22-1.6	(RS) Red Sea 	5	374306	273	299	287	2014	513
TARA_034_SRF_<-0.22	(RS) Red Sea 	5	213231	41	21	71	383	38
TARA_036_DCM_0.22-1.6	(IO) Indian Ocean 	17	571825	233	274	417	2520	1425
TARA_036_DCM_<-0.22	(IO) Indian Ocean 	17	123893	0	2	12	33	1
TARA_036_SRF_0.1-0.22	(IO) Indian Ocean 	5	93043	0	0	8	22	0
TARA_036_SRF_0.22-1.6	(IO) Indian Ocean 	5	382487	209	206	338	1857	826
TARA_036_SRF_<-0.22	(IO) Indian Ocean 	5	94462	6	13	22	142	40
TARA_037_MES_0.1-0.22	(IO) Indian Ocean 	600	834176	375	278	144	1641	511
TARA_037_MES_0.22-1.6	(IO) Indian Ocean 	600	599846	1004	830	387	3657	1004
TARA_038_DCM_0.22-1.6	(IO) Indian Ocean 	25	574928	365	388	400	2541	698
TARA_038_DCM_<-0.22	(IO) Indian Ocean 	25	152875	2	2	25	98	3
TARA_038_MES_0.1-0.22	(IO) Indian Ocean 	340	264690	31	44	65	636	62
TARA_038_MES_0.22-1.6	(IO) Indian Ocean 	340	343270	415	484	213	2165	462
TARA_038_SRF_0.1-0.22	(IO) Indian Ocean 	5	156554	2	1	11	42	4
