bin	orig_bin_name	Delmont_bins	subgroup	genome_size	completeness	contamination	GC	reference	accession	note1	depth(m)	lat	lon	note2	genes	fmnos	enolases	rhds	dehydro
LSU_GOM1	2651870034		Group1a	2475308	83.33	0.08	52.6	Thrash et al (2017)	2651870035	IMG accession	30	28.9833	-90.8333		2228	3	61	0	35
LSU_GOM2	2651870035		Group1a	1972793	89.97	0	51.8	Thrash et al (2017)	2651870034	IMG accession	30	28.9833	-90.8333		1795	2	63	0	35
MPMJ01	MPMJ01		Group4	3223809	88.58	0	65.06	Slaby et al (2017)	MPMJ00000000	NCBI accession	5	45.5178	13.5682		3160	26	7	62	42
MPMM01	MPMM01		Group3a	4393250	95.99	1.85	59.85	Slaby et al (2017)	MPMM00000000	NCBI accession	5	45.5178	13.5682		4080	74	3	5	40
MPNC01	MPNC01		Group3a	4958136	94.96	0	62.49	Slaby et al (2017)	MPNC00000000	NCBI accession	5	45.5178	13.5682		4682	88	4	6	50
MPND01	MPND01		Group2	4606320	94.14	1.54	56.56	Slaby et al (2017)	MPND00000000	NCBI accession	5	45.5178	13.5682		4400	47	23	2	51
MPNN01	MPNN01		Group1a	3017767	94.88	1.85	57.24	Slaby et al (2017)	MPNN00000000	NCBI accession	5	45.5178	13.5682		2896	4	54	1	31
OSU_BB01	108-200.bin.5		Group2	1799763	85.49	1.03	41.98	this study	TBA	NCBI accession	200	31.666664	-64.166666		1738	38	31	0	40
OSU_BB02	108-200.bin.7		Group1a	1570659	60.19	0	46.46	this study	TBA	NCBI accession	200	31.666664	-64.166666		1403	3	47	0	30
OSU_BB03	108-80.bin.6		Group1b	1304149	90.91	3.45	30.92	this study	TBA	NCBI accession	80	31.666664	-64.166666		1298	1	28	0	19
OSU_BB04	134-200.bin.16		Group1a	1935661	83.3	0	46.66	this study	TBA	NCBI accession	200	31.666664	-64.166666		1749	5	63	0	31
OSU_BB05	134-200.bin.24		Group2	1271453	62.55	0	43.39	this study	TBA	NCBI accession	200	31.666664	-64.166666		1215	33	27	0	22
OSU_BB06	136-0.bin.13		Group1b	1333938	84.48	1.72	31.04	this study	TBA	NCBI accession	0	31.666664	-64.166666		1359	1	27	0	22
OSU_BB07	136-80.bin.29		Group2	823410	48.55	0.93	34.69	this study	TBA	NCBI accession	80	31.666664	-64.166666		798	4	5	0	18
OSU_BB08	164-200.bin.4		Group1a	1996886	87.15	0.16	46.88	this study	TBA	NCBI accession	200	31.666664	-64.166666		1807	7	63	0	40
OSU_BB09	164-200.bin.5		Group2	1951973	89.32	1.85	42.17	this study	TBA	NCBI accession	200	31.666664	-64.166666		1881	46	31	0	43
OSU_BB10	164-200.bin.7		Group3a	1860312	56.83	1.85	50.18	this study	TBA	NCBI accession	200	31.666664	-64.166666		1729	61	3	4	36
